net/minecraft/block/Block,field_149764_J,blockMaterial,material
net/minecraft/block/BlockTripWire,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockTripWireHook,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockVine,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockWall$EnumType,field_176661_f,unlocalizedName,translationKey
net/minecraft/block/BlockWall$EnumType,func_176659_c,getUnlocalizedName,getTranslationKey
net/minecraft/block/BlockWeb,func_180634_a,onEntityCollidedWithBlock,onEntityCollision
net/minecraft/block/BlockWeb,func_180664_k,getBlockLayer,getRenderLayer
net/minecraft/block/BlockWoodSlab,func_150002_b,getUnlocalizedName,getTranslationKey
net/minecraft/block/material/Material,field_76242_K,mobilityFlag,pushReaction
net/minecraft/block/material/Material,func_186274_m,getMobilityFlag,getPushReaction
net/minecraft/block/state/BlockStateContainer$StateImplementation,func_185905_o,getMobilityFlag,getPushReaction
net/minecraft/block/state/IBlockProperties,func_185905_o,getMobilityFlag,getPushReaction
net/minecraft/client/audio/SoundHandler,field_147695_g,mcResourceManager,resourceManager
net/minecraft/client/gui/advancements/GuiAdvancement,func_191824_a,getAdvancementProgress,setAdvancementProgress
net/minecraft/client/main/GameConfiguration$FolderInformation,field_178760_a,mcDataDir,gameDir
net/minecraft/client/main/Main,func_110121_a,isNullOrEmpty,isNotEmpty
net/minecraft/client/Minecraft,field_110448_aq,mcResourcePackRepository,resourcePackRepository
net/minecraft/client/Minecraft,field_110450_ap,mcDefaultResourcePack,defaultResourcePack
net/minecraft/client/Minecraft,field_110451_am,mcResourceManager,resourceManager
net/minecraft/client/Minecraft,field_110452_an,metadataSerializer_,metadataSerializer
net/minecraft/client/Minecraft,field_135017_as,mcLanguageManager,languageManager
net/minecraft/client/Minecraft,field_147124_at,framebufferMc,framebuffer
net/minecraft/client/Minecraft,field_147126_aw,mcMusicTicker,musicTicker
net/minecraft/client/Minecraft,field_147127_av,mcSoundHandler,soundHandler
net/minecraft/client/Minecraft,field_152352_aC,mcThread,thread
net/minecraft/client/Minecraft,field_71412_D,mcDataDir,gameDir
net/minecraft/client/Minecraft,field_71424_I,mcProfiler,profiler
net/minecraft/client/Minecraft,field_71453_ak,myNetworkManager,networkManager
net/minecraft/client/multiplayer/ChunkProviderClient,field_73236_b,chunkMapping,loadedChunks
net/minecraft/client/network/NetHandlerHandshakeMemory,field_147385_a,mcServer,server
net/minecraft/client/network/NetHandlerPlayClient,field_147299_f,gameController,client
net/minecraft/client/network/NetHandlerPlayClient,field_147300_g,clientWorldController,world
net/minecraft/client/renderer/block/model/ModelRotation,field_177544_s,matrix4d,matrix
net/minecraft/client/renderer/block/model/ModelRotation,func_177525_a,getMatrix4d,matrix
net/minecraft/client/renderer/chunk/ChunkRenderDispatcher,func_188247_f,hasChunkUpdates,hasNoChunkUpdates
net/minecraft/client/renderer/ItemRenderer,func_178108_a,renderBlockInHand,renderSuffocationOverlay
net/minecraft/client/renderer/vertex/VertexFormat,field_177353_d,nextOffset,vertexSize
net/minecraft/client/renderer/vertex/VertexFormat,func_177338_f,getNextOffset,getSize
net/minecraft/client/resources/LegacyV2Adapter$1,func_110623_a,getResourcePath,getPath
net/minecraft/client/util/SearchTree,field_194044_a,byId,byName
net/minecraft/client/util/SearchTree,field_194045_b,byName,byId
net/minecraft/creativetab/CreativeTabs,field_151245_t,iconItemStack,icon
net/minecraft/creativetab/CreativeTabs,field_78033_n,tabIndex,index
net/minecraft/creativetab/CreativeTabs,func_151244_d,getIconItemStack,getIcon
net/minecraft/creativetab/CreativeTabs,func_78016_d,getTabIconItem,createIcon
net/minecraft/creativetab/CreativeTabs,func_78017_i,shouldHidePlayerInventory,hasScrollbar
net/minecraft/creativetab/CreativeTabs,func_78020_k,getTabColumn,getColumn
net/minecraft/creativetab/CreativeTabs,func_78021_a,getTabIndex,getIndex
net/minecraft/creativetab/CreativeTabs,func_78023_l,isTabInFirstRow,isOnTopRow
net/minecraft/creativetab/CreativeTabs,func_78024_c,getTranslatedTabLabel,getTranslationKey
net/minecraft/creativetab/CreativeTabs$1,func_78016_d,getTabIconItem,createIcon
net/minecraft/creativetab/CreativeTabs$10,func_78016_d,getTabIconItem,createIcon
net/minecraft/creativetab/CreativeTabs$11,func_78016_d,getTabIconItem,createIcon
net/minecraft/creativetab/CreativeTabs$12,func_78016_d,getTabIconItem,createIcon
net/minecraft/creativetab/CreativeTabs$2,func_78016_d,getTabIconItem,createIcon
net/minecraft/creativetab/CreativeTabs$3,func_78016_d,getTabIconItem,createIcon
net/minecraft/creativetab/CreativeTabs$4,func_78016_d,getTabIconItem,createIcon
net/minecraft/creativetab/CreativeTabs$5,func_78016_d,getTabIconItem,createIcon
net/minecraft/creativetab/CreativeTabs$6,func_78016_d,getTabIconItem,createIcon
net/minecraft/creativetab/CreativeTabs$7,func_78016_d,getTabIconItem,createIcon
net/minecraft/creativetab/CreativeTabs$8,func_78016_d,getTabIconItem,createIcon
net/minecraft/creativetab/CreativeTabs$9,func_78016_d,getTabIconItem,createIcon
net/minecraft/entity/ai/attributes/BaseAttribute,field_111115_a,unlocalizedName,translationKey
net/minecraft/entity/ai/EntityAIWatchClosest,field_75333_c,maxDistanceForPlayer,maxDistance
net/minecraft/entity/EntityLivingBase,field_94063_bt,_combatTracker,combatTracker
net/minecraft/entity/passive/EntityRabbit,func_175521_o,setJumpCompletion,getJumpCompletion
net/minecraft/entity/player/EntityPlayerMP,field_71133_b,mcServer,server
net/minecraft/inventory/ContainerEnchantment,field_75172_h,worldPointer,world
net/minecraft/inventory/ContainerRepair,field_178156_j,selfPosition,pos
net/minecraft/item/EnumDyeColor,field_176785_v,unlocalizedName,translationKey
net/minecraft/item/EnumDyeColor,func_176762_d,getUnlocalizedName,getTranslationKey
net/minecraft/item/EnumRarity,field_77937_e,rarityColor,color
net/minecraft/item/Item,field_77774_bZ,unlocalizedName,translationKey
net/minecraft/item/Item,func_77655_b,setUnlocalizedName,setTranslationKey
net/minecraft/item/Item,func_77658_a,getUnlocalizedName,getTranslationKey
net/minecraft/item/Item,func_77667_c,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemAir,func_77658_a,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemAir,func_77667_c,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemBed,func_77667_c,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemBlock,func_77658_a,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemBlock,func_77667_c,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemCloth,func_77667_c,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemCoal,func_77667_c,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemColored,func_77667_c,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemDye,func_77667_c,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemFishFood,func_77667_c,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemFishFood$FishType,field_150981_g,unlocalizedName,translationKey
net/minecraft/item/ItemFishFood$FishType,func_150972_b,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemLeaves,func_77667_c,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemMultiTexture,func_77667_c,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemSkull,func_77667_c,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemSlab,func_77667_c,getUnlocalizedName,getTranslationKey
net/minecraft/item/ItemStack,func_77977_a,getUnlocalizedName,getTranslationKey
net/minecraft/nbt/NBTBase,func_150284_a,createNewByType,create
net/minecraft/nbt/NBTBase,func_193581_j,getTagTypeName,getTypeName
net/minecraft/nbt/NBTBase,func_82582_d,hasNoTags,isEmpty
net/minecraft/nbt/NBTTagCompound,func_82582_d,hasNoTags,isEmpty
net/minecraft/nbt/NBTTagList,func_82582_d,hasNoTags,isEmpty
net/minecraft/nbt/NBTTagString,func_82582_d,hasNoTags,isEmpty
net/minecraft/network/NetHandlerPlayServer,field_147367_d,serverController,server
net/minecraft/network/NetworkManager,func_179293_l,checkDisconnected,handleDisconnection
net/minecraft/network/NetworkSystem,field_151273_d,mcServer,server
net/minecraft/network/NetworkSystem,func_151265_a,addLanEndpoint,addEndpoint
net/minecraft/scoreboard/ServerScoreboard,field_96555_a,scoreboardMCServer,server
net/minecraft/server/management/PlayerList,field_72400_f,mcServer,server
net/minecraft/stats/StatisticsManagerServer,field_150890_c,mcServer,server
net/minecraft/tileentity/TileEntitySkull,func_174884_b,updateGameprofile,updateGameProfile
net/minecraft/util/EnumFacing,func_176731_b,getHorizontal,byHorizontalIndex
net/minecraft/util/EnumFacing,func_82599_e,getFrontOffsetZ,getZOffset
net/minecraft/util/EnumFacing,func_82600_a,getFront,byIndex
net/minecraft/util/EnumFacing,func_82601_c,getFrontOffsetX,getXOffset
net/minecraft/util/EnumFacing,func_96559_d,getFrontOffsetY,getYOffset
net/minecraft/util/math/Vec3d,func_189984_a,fromPitchYawVector,fromPitchYaw
net/minecraft/util/math/Vec3d,func_72433_c,lengthVector,length
net/minecraft/util/math/Vec3d,func_72441_c,addVector,add
net/minecraft/util/ResourceLocation,field_110625_b,resourcePath,path
net/minecraft/util/ResourceLocation,field_110626_a,resourceDomain,namespace
net/minecraft/util/ResourceLocation,func_110623_a,getResourcePath,getPath
net/minecraft/util/ResourceLocation,func_110624_b,getResourceDomain,getNamespace
net/minecraft/world/end/DragonFightManager,func_186100_j,updateplayers,updatePlayers
net/minecraft/world/EnumDifficulty,field_151527_f,difficultyId,id
net/minecraft/world/EnumDifficulty,field_151528_g,difficultyResourceKey,translationKey
net/minecraft/world/EnumDifficulty,func_151523_a,getDifficultyEnum,byId
net/minecraft/world/EnumDifficulty,func_151525_a,getDifficultyId,getId
net/minecraft/world/EnumDifficulty,func_151526_b,getDifficultyResourceKey,getTranslationKey
net/minecraft/world/gen/ChunkProviderServer,field_73244_f,id2ChunkMap,loadedChunks
net/minecraft/world/gen/ChunkProviderServer,field_73248_b,droppedChunksSet,droppedChunks
net/minecraft/world/ServerWorldEventHandler,field_72783_a,mcServer,server
net/minecraft/world/World,func_175687_A,isBlockIndirectlyGettingPowered,getRedstonePowerFromNeighbors
net/minecraft/world/World,func_175726_f,getChunkFromBlockCoords,getChunk
net/minecraft/world/World,func_72964_e,getChunkFromChunkCoords,getChunk
net/minecraft/world/WorldServer,field_73061_a,mcServer,server
net/minecraft/world/WorldType,func_77130_a,parseWorldType,byName
